state,county,tract,NAME.x,TotalPop_12,TotalPopMOE_12,TR_Italian_12,TR_ItalianMOE_12,Census_Tract.x,County.x,State.x,TotalPop_17,TotalPopMOE_17,TR_Italian_17,TR_ItalianMOE_17
36,005,022401,"Census Tract 224.01, Bronx County, New York",2690,306,117,82,Census Tract 224.01,Bronx County,New York,2625,325,10,15
36,005,022403,"Census Tract 224.03, Bronx County, New York",3099,289,187,109,Census Tract 224.03,Bronx County,New York,3651,302,30,29
36,005,022404,"Census Tract 224.04, Bronx County, New York",4368,449,272,222,Census Tract 224.04,Bronx County,New York,4186,363,84,46
36,005,022500,"Census Tract 225, Bronx County, New York",8327,890,126,145,Census Tract 225,Bronx County,New York,8570,781,23,30
36,005,022701,"Census Tract 227.01, Bronx County, New York",5602,588,17,20,Census Tract 227.01,Bronx County,New York,5702,617,24,33
36,005,022702,"Census Tract 227.02, Bronx County, New York",1545,283,0,12,Census Tract 227.02,Bronx County,New York,1534,171,0,11
36,005,022703,"Census Tract 227.03, Bronx County, New York",1702,227,0,12,Census Tract 227.03,Bronx County,New York,1841,174,19,28
36,005,022800,"Census Tract 228, Bronx County, New York",6345,698,375,332,Census Tract 228,Bronx County,New York,6023,536,102,89
36,005,022901,"Census Tract 229.01, Bronx County, New York",5028,572,46,48,Census Tract 229.01,Bronx County,New York,5922,600,0,16
36,005,022902,"Census Tract 229.02, Bronx County, New York",3274,370,0,12,Census Tract 229.02,Bronx County,New York,3537,457,0,11
36,005,023000,"Census Tract 230, Bronx County, New York",3189,331,305,202,Census Tract 230,Bronx County,New York,2974,367,143,108
36,005,023100,"Census Tract 231, Bronx County, New York",1481,256,20,24,Census Tract 231,Bronx County,New York,1570,173,15,15
36,005,023200,"Census Tract 232, Bronx County, New York",2644,397,385,178,Census Tract 232,Bronx County,New York,2804,250,298,93
36,005,023301,"Census Tract 233.01, Bronx County, New York",4572,554,7,11,Census Tract 233.01,Bronx County,New York,3919,399,59,83
36,005,023302,"Census Tract 233.02, Bronx County, New York",3065,482,0,12,Census Tract 233.02,Bronx County,New York,3647,422,4,11
36,005,023501,"Census Tract 235.01, Bronx County, New York",3500,444,0,12,Census Tract 235.01,Bronx County,New York,3235,469,0,11
36,005,023502,"Census Tract 235.02, Bronx County, New York",4787,553,6,10,Census Tract 235.02,Bronx County,New York,4781,554,38,42
36,005,023600,"Census Tract 236, Bronx County, New York",2102,347,89,69,Census Tract 236,Bronx County,New York,2110,272,139,99
36,005,023702,"Census Tract 237.02, Bronx County, New York",1196,269,28,30,Census Tract 237.02,Bronx County,New York,1203,153,26,29
36,005,023703,"Census Tract 237.03, Bronx County, New York",4320,648,28,34,Census Tract 237.03,Bronx County,New York,5746,463,136,72
36,005,023704,"Census Tract 237.04, Bronx County, New York",3705,455,0,12,Census Tract 237.04,Bronx County,New York,4295,471,23,33
36,005,023800,"Census Tract 238, Bronx County, New York",2379,336,242,89,Census Tract 238,Bronx County,New York,2551,267,128,68
36,005,023900,"Census Tract 239, Bronx County, New York",8414,699,58,87,Census Tract 239,Bronx County,New York,7547,665,0,16
