NAME.x,Census_Tract.x,County.x,State.x,tract_short,tract_uid,ntaname,Year,Population,Italian,Prop
"Census Tract 224.01, Bronx County, New York",Census Tract 224.01,Bronx County,New York,224.01,2224.01,Pelham Parkway,2012,2690,117,0.043494424
"Census Tract 224.03, Bronx County, New York",Census Tract 224.03,Bronx County,New York,224.03,2224.03,Pelham Parkway,2012,3099,187,0.060342046
"Census Tract 224.04, Bronx County, New York",Census Tract 224.04,Bronx County,New York,224.04,2224.04,Pelham Parkway,2012,4368,272,0.062271062
"Census Tract 225, Bronx County, New York",Census Tract 225,Bronx County,New York,225,2225,East Concourse-Concourse Village,2012,8327,126,0.0151315
"Census Tract 227.01, Bronx County, New York",Census Tract 227.01,Bronx County,New York,227.01,2227.01,Mount Hope,2012,5602,17,0.00303463
"Census Tract 227.02, Bronx County, New York",Census Tract 227.02,Bronx County,New York,227.02,2227.02,Mount Hope,2012,1545,0,0
"Census Tract 227.03, Bronx County, New York",Census Tract 227.03,Bronx County,New York,227.03,2227.03,Mount Hope,2012,1702,0,0
"Census Tract 228, Bronx County, New York",Census Tract 228,Bronx County,New York,228,2228,Pelham Parkway,2012,6345,375,0.059101655
"Census Tract 229.01, Bronx County, New York",Census Tract 229.01,Bronx County,New York,229.01,2229.01,Mount Hope,2012,5028,46,0.009148767
"Census Tract 229.02, Bronx County, New York",Census Tract 229.02,Bronx County,New York,229.02,2229.02,Mount Hope,2012,3274,0,0
"Census Tract 230, Bronx County, New York",Census Tract 230,Bronx County,New York,230,2230,Van Nest-Morris Park-Westchester Square,2012,3189,305,0.095641267
"Census Tract 231, Bronx County, New York",Census Tract 231,Bronx County,New York,231,2231,Mount Hope,2012,1481,20,0.013504389
"Census Tract 232, Bronx County, New York",Census Tract 232,Bronx County,New York,232,2232,Van Nest-Morris Park-Westchester Square,2012,2644,385,0.145612708
"Census Tract 233.01, Bronx County, New York",Census Tract 233.01,Bronx County,New York,233.01,2233.01,Mount Hope,2012,4572,7,0.001531059
"Census Tract 233.02, Bronx County, New York",Census Tract 233.02,Bronx County,New York,233.02,2233.02,Mount Hope,2012,3065,0,0
"Census Tract 235.01, Bronx County, New York",Census Tract 235.01,Bronx County,New York,235.01,2235.01,Mount Hope,2012,3500,0,0
"Census Tract 235.02, Bronx County, New York",Census Tract 235.02,Bronx County,New York,235.02,2235.02,Mount Hope,2012,4787,6,0.001253395
"Census Tract 236, Bronx County, New York",Census Tract 236,Bronx County,New York,236,2236,Van Nest-Morris Park-Westchester Square,2012,2102,89,0.042340628
"Census Tract 237.02, Bronx County, New York",Census Tract 237.02,Bronx County,New York,237.02,2237.02,Bedford Park-Fordham North,2012,1196,28,0.023411371
"Census Tract 237.03, Bronx County, New York",Census Tract 237.03,Bronx County,New York,237.03,2237.03,Fordham South,2012,4320,28,0.006481481
"Census Tract 237.04, Bronx County, New York",Census Tract 237.04,Bronx County,New York,237.04,2237.04,Fordham South,2012,3705,0,0
"Census Tract 238, Bronx County, New York",Census Tract 238,Bronx County,New York,238,2238,Van Nest-Morris Park-Westchester Square,2012,2379,242,0.101723413
"Census Tract 239, Bronx County, New York",Census Tract 239,Bronx County,New York,239,2239,Fordham South,2012,8414,58,0.006893273
"Census Tract 240, Bronx County, New York",Census Tract 240,Bronx County,New York,240,2240,Van Nest-Morris Park-Westchester Square,2012,4237,222,0.052395563
"Census Tract 241, Bronx County, New York",Census Tract 241,Bronx County,New York,241,2241,Mount Hope,2012,6416,39,0.006078554
"Census Tract 243, Bronx County, New York",Census Tract 243,Bronx County,New York,243,2243,University Heights-Morris Heights,2012,5749,46,0.008001392
"Census Tract 244, Bronx County, New York",Census Tract 244,Bronx County,New York,244,2244,Van Nest-Morris Park-Westchester Square,2012,2694,812,0.301410542
"Census Tract 245.01, Bronx County, New York",Census Tract 245.01,Bronx County,New York,245.01,2245.01,University Heights-Morris Heights,2012,4933,0,0
"Census Tract 245.02, Bronx County, New York",Census Tract 245.02,Bronx County,New York,245.02,2245.02,University Heights-Morris Heights,2012,4220,49,0.011611374
"Census Tract 246, Bronx County, New York",Census Tract 246,Bronx County,New York,246,2246,Pelham Parkway,2012,1931,341,0.176592439
"Census Tract 247, Bronx County, New York",Census Tract 247,Bronx County,New York,247,2247,University Heights-Morris Heights,2012,2036,8,0.003929273
"Census Tract 248, Bronx County, New York",Census Tract 248,Bronx County,New York,248,2248,Pelham Parkway,2012,3766,968,0.257036644
"Census Tract 249, Bronx County, New York",Census Tract 249,Bronx County,New York,249,2249,University Heights-Morris Heights,2012,0,0,0
"Census Tract 250, Bronx County, New York",Census Tract 250,Bronx County,New York,250,2250,Pelham Parkway,2012,2368,876,0.369932432
"Census Tract 251, Bronx County, New York",Census Tract 251,Bronx County,New York,251,2251,University Heights-Morris Heights,2012,7109,54,0.007596005
"Census Tract 252, Bronx County, New York",Census Tract 252,Bronx County,New York,252,2252,Van Nest-Morris Park-Westchester Square,2012,2635,747,0.283491461
"Census Tract 253, Bronx County, New York",Census Tract 253,Bronx County,New York,253,2253,Kingsbridge Heights,2012,5572,0,0
"Census Tract 254, Bronx County, New York",Census Tract 254,Bronx County,New York,254,2254,Van Nest-Morris Park-Westchester Square,2012,1723,758,0.439930354
"Census Tract 255, Bronx County, New York",Census Tract 255,Bronx County,New York,255,2255,Kingsbridge Heights,2012,6161,0,0
"Census Tract 256, Bronx County, New York",Census Tract 256,Bronx County,New York,256,2256,Van Nest-Morris Park-Westchester Square,2012,1931,439,0.227343345
"Census Tract 257, Bronx County, New York",Census Tract 257,Bronx County,New York,257,2257,University Heights-Morris Heights,2012,2024,0,0
"Census Tract 261, Bronx County, New York",Census Tract 261,Bronx County,New York,261,2261,Kingsbridge Heights,2012,2573,96,0.037310532
"Census Tract 263, Bronx County, New York",Census Tract 263,Bronx County,New York,263,2263,Kingsbridge Heights,2012,6342,47,0.007410911
"Census Tract 264, Bronx County, New York",Census Tract 264,Bronx County,New York,264,2264,Schuylerville-Throgs Neck-Edgewater Park,2012,5235,1327,0.253486151
"Census Tract 265, Bronx County, New York",Census Tract 265,Bronx County,New York,265,2265,Kingsbridge Heights,2012,6693,84,0.012550426
"Census Tract 266.01, Bronx County, New York",Census Tract 266.01,Bronx County,New York,266.01,2266.01,Pelham Bay-Country Club-City Island,2012,3128,1100,0.351662404
"Census Tract 266.02, Bronx County, New York",Census Tract 266.02,Bronx County,New York,266.02,2266.02,Pelham Bay-Country Club-City Island,2012,5068,1514,0.298737174
"Census Tract 267.01, Bronx County, New York",Census Tract 267.01,Bronx County,New York,267.01,2267.01,Van Cortlandt Village,2012,3503,55,0.015700828
"Census Tract 267.02, Bronx County, New York",Census Tract 267.02,Bronx County,New York,267.02,2267.02,Van Cortlandt Village,2012,6386,57,0.008925775
"Census Tract 269, Bronx County, New York",Census Tract 269,Bronx County,New York,269,2269,Kingsbridge Heights,2012,3258,20,0.006138735
"Census Tract 273, Bronx County, New York",Census Tract 273,Bronx County,New York,273,2273,Van Cortlandt Village,2012,8491,190,0.022376634
"Census Tract 274.01, Bronx County, New York",Census Tract 274.01,Bronx County,New York,274.01,2274.01,Pelham Bay-Country Club-City Island,2012,4588,2366,0.515693112
"Census Tract 274.02, Bronx County, New York",Census Tract 274.02,Bronx County,New York,274.02,2274.02,Pelham Bay-Country Club-City Island,2012,3765,1922,0.510491368
"Census Tract 276, Bronx County, New York",Census Tract 276,Bronx County,New York,276,2276,park-cemetery-etc-Bronx,2012,65,0,0
"Census Tract 277, Bronx County, New York",Census Tract 277,Bronx County,New York,277,2277,Van Cortlandt Village,2012,4977,32,0.006429576
"Census Tract 279, Bronx County, New York",Census Tract 279,Bronx County,New York,279,2279,Van Cortlandt Village,2012,6865,180,0.026219956
"Census Tract 281, Bronx County, New York",Census Tract 281,Bronx County,New York,281,2281,Van Cortlandt Village,2012,3898,130,0.033350436
"Census Tract 283, Bronx County, New York",Census Tract 283,Bronx County,New York,283,2283,Spuyten Duyvil-Kingsbridge,2012,3088,0,0
"Census Tract 284, Bronx County, New York",Census Tract 284,Bronx County,New York,284,2284,Van Nest-Morris Park-Westchester Square,2012,1018,86,0.084479371
"Census Tract 285, Bronx County, New York",Census Tract 285,Bronx County,New York,285,2285,Spuyten Duyvil-Kingsbridge,2012,2917,210,0.071991772
"Census Tract 286, Bronx County, New York",Census Tract 286,Bronx County,New York,286,2286,Van Nest-Morris Park-Westchester Square,2012,931,151,0.162191192
"Census Tract 287, Bronx County, New York",Census Tract 287,Bronx County,New York,287,2287,Spuyten Duyvil-Kingsbridge,2012,3470,97,0.02795389
"Census Tract 288, Bronx County, New York",Census Tract 288,Bronx County,New York,288,2288,Pelham Parkway,2012,3447,1473,0.427328111
"Census Tract 289, Bronx County, New York",Census Tract 289,Bronx County,New York,289,2289,Spuyten Duyvil-Kingsbridge,2012,4191,126,0.030064424
"Census Tract 293.01, Bronx County, New York",Census Tract 293.01,Bronx County,New York,293.01,2293.01,Spuyten Duyvil-Kingsbridge,2012,1747,129,0.07384087
"Census Tract 293.02, Bronx County, New York",Census Tract 293.02,Bronx County,New York,293.02,2293.02,Spuyten Duyvil-Kingsbridge,2012,5066,218,0.043031978
"Census Tract 295, Bronx County, New York",Census Tract 295,Bronx County,New York,295,2295,Spuyten Duyvil-Kingsbridge,2012,4283,405,0.094559888
"Census Tract 296, Bronx County, New York",Census Tract 296,Bronx County,New York,296,2296,Pelham Parkway,2012,2177,251,0.115296279
"Census Tract 297, Bronx County, New York",Census Tract 297,Bronx County,New York,297,2297,Spuyten Duyvil-Kingsbridge,2012,3596,424,0.117908788
"Census Tract 300, Bronx County, New York",Census Tract 300,Bronx County,New York,300,2300,Pelham Bay-Country Club-City Island,2012,5715,1484,0.259667542
"Census Tract 301, Bronx County, New York",Census Tract 301,Bronx County,New York,301,2301,Spuyten Duyvil-Kingsbridge,2012,1490,77,0.051677852
"Census Tract 302, Bronx County, New York",Census Tract 302,Bronx County,New York,302,2302,Co-op City,2012,9369,100,0.010673498
"Census Tract 307.01, Bronx County, New York",Census Tract 307.01,Bronx County,New York,307.01,2307.01,North Riverdale-Fieldston-Riverdale,2012,5313,361,0.067946546
"Census Tract 309, Bronx County, New York",Census Tract 309,Bronx County,New York,309,2309,North Riverdale-Fieldston-Riverdale,2012,3417,158,0.046239391
"Census Tract 310, Bronx County, New York",Census Tract 310,Bronx County,New York,310,2310,Allerton-Pelham Gardens,2012,4940,1353,0.27388664
"Census Tract 312, Bronx County, New York",Census Tract 312,Bronx County,New York,312,2312,Allerton-Pelham Gardens,2012,1943,614,0.316006176
"Census Tract 314, Bronx County, New York",Census Tract 314,Bronx County,New York,314,2314,Allerton-Pelham Gardens,2012,2295,531,0.231372549
"Census Tract 316, Bronx County, New York",Census Tract 316,Bronx County,New York,316,2316,Allerton-Pelham Gardens,2012,2154,195,0.090529248
"Census Tract 318, Bronx County, New York",Census Tract 318,Bronx County,New York,318,2318,Allerton-Pelham Gardens,2012,2390,522,0.218410042
"Census Tract 319, Bronx County, New York",Census Tract 319,Bronx County,New York,319,2319,North Riverdale-Fieldston-Riverdale,2012,702,186,0.264957265
"Census Tract 323, Bronx County, New York",Census Tract 323,Bronx County,New York,323,2323,North Riverdale-Fieldston-Riverdale,2012,4704,277,0.058886054
"Census Tract 324, Bronx County, New York",Census Tract 324,Bronx County,New York,324,2324,Bronxdale,2012,2839,169,0.059528003
"Census Tract 326, Bronx County, New York",Census Tract 326,Bronx County,New York,326,2326,Allerton-Pelham Gardens,2012,3719,814,0.218876042
"Census Tract 328, Bronx County, New York",Census Tract 328,Bronx County,New York,328,2328,Bronxdale,2012,4272,242,0.05664794
"Census Tract 330, Bronx County, New York",Census Tract 330,Bronx County,New York,330,2330,Bronxdale,2012,5608,147,0.026212553
"Census Tract 332.01, Bronx County, New York",Census Tract 332.01,Bronx County,New York,332.01,2332.01,Bronxdale,2012,3380,116,0.034319527
"Census Tract 332.02, Bronx County, New York",Census Tract 332.02,Bronx County,New York,332.02,2332.02,Bronxdale,2012,3546,59,0.016638466
"Census Tract 334, Bronx County, New York",Census Tract 334,Bronx County,New York,334,2334,park-cemetery-etc-Bronx,2012,1039,37,0.035611165
"Census Tract 335, Bronx County, New York",Census Tract 335,Bronx County,New York,335,2335,North Riverdale-Fieldston-Riverdale,2012,2263,316,0.139637649
"Census Tract 336, Bronx County, New York",Census Tract 336,Bronx County,New York,336,2336,Bronxdale,2012,6171,27,0.004375304
"Census Tract 337, Bronx County, New York",Census Tract 337,Bronx County,New York,337,2337,North Riverdale-Fieldston-Riverdale,2012,2585,155,0.059961315
"Census Tract 338, Bronx County, New York",Census Tract 338,Bronx County,New York,338,2338,Bronxdale,2012,3839,10,0.002604845
"Census Tract 340, Bronx County, New York",Census Tract 340,Bronx County,New York,340,2340,Bronxdale,2012,4073,54,0.013258041
"Census Tract 342, Bronx County, New York",Census Tract 342,Bronx County,New York,342,2342,Allerton-Pelham Gardens,2012,1962,33,0.016819572
"Census Tract 343, Bronx County, New York",Census Tract 343,Bronx County,New York,343,2343,North Riverdale-Fieldston-Riverdale,2012,1687,95,0.056312982
"Census Tract 344, Bronx County, New York",Census Tract 344,Bronx County,New York,344,2344,Allerton-Pelham Gardens,2012,1841,33,0.017925041
"Census Tract 345, Bronx County, New York",Census Tract 345,Bronx County,New York,345,2345,North Riverdale-Fieldston-Riverdale,2012,3227,335,0.10381159
"Census Tract 348, Bronx County, New York",Census Tract 348,Bronx County,New York,348,2348,Allerton-Pelham Gardens,2012,6740,74,0.010979228
"Census Tract 350, Bronx County, New York",Census Tract 350,Bronx County,New York,350,2350,Allerton-Pelham Gardens,2012,2084,93,0.04462572
"Census Tract 351, Bronx County, New York",Census Tract 351,Bronx County,New York,351,2351,North Riverdale-Fieldston-Riverdale,2012,2941,442,0.150289017
"Census Tract 356, Bronx County, New York",Census Tract 356,Bronx County,New York,356,2356,Eastchester-Edenwald-Baychester,2012,2208,32,0.014492754
"Census Tract 358, Bronx County, New York",Census Tract 358,Bronx County,New York,358,2358,Eastchester-Edenwald-Baychester,2012,8283,181,0.021851986
"Census Tract 359, Bronx County, New York",Census Tract 359,Bronx County,New York,359,2359,East Tremont,2012,1813,0,0
"Census Tract 360, Bronx County, New York",Census Tract 360,Bronx County,New York,360,2360,Allerton-Pelham Gardens,2012,3336,265,0.079436451
"Census Tract 361, Bronx County, New York",Census Tract 361,Bronx County,New York,361,2361,East Tremont,2012,5370,38,0.00707635
"Census Tract 363, Bronx County, New York",Census Tract 363,Bronx County,New York,363,2363,East Tremont,2012,7802,38,0.004870546
"Census Tract 364, Bronx County, New York",Census Tract 364,Bronx County,New York,364,2364,Eastchester-Edenwald-Baychester,2012,2355,0,0
"Census Tract 365.01, Bronx County, New York",Census Tract 365.01,Bronx County,New York,365.01,2365.01,East Tremont,2012,3606,0,0
"Census Tract 365.02, Bronx County, New York",Census Tract 365.02,Bronx County,New York,365.02,2365.02,East Tremont,2012,2231,0,0
"Census Tract 367, Bronx County, New York",Census Tract 367,Bronx County,New York,367,2367,East Tremont,2012,2255,12,0.005321508
"Census Tract 368, Bronx County, New York",Census Tract 368,Bronx County,New York,368,2368,Williamsbridge-Olinville,2012,2019,13,0.006438831
"Census Tract 369.01, Bronx County, New York",Census Tract 369.01,Bronx County,New York,369.01,2369.01,East Tremont,2012,2273,4,0.001759789
"Census Tract 369.02, Bronx County, New York",Census Tract 369.02,Bronx County,New York,369.02,2369.02,East Tremont,2012,2250,0,0
"Census Tract 370, Bronx County, New York",Census Tract 370,Bronx County,New York,370,2370,Williamsbridge-Olinville,2012,2577,95,0.036864571
"Census Tract 371, Bronx County, New York",Census Tract 371,Bronx County,New York,371,2371,East Tremont,2012,3606,123,0.034109817
"Census Tract 372, Bronx County, New York",Census Tract 372,Bronx County,New York,372,2372,Williamsbridge-Olinville,2012,2392,33,0.013795987
