state,county,tract,NAME.x,TotalPop_12,TotalPopMOE_12,TR_Italian_12,TR_ItalianMOE_12,Census_Tract.x,County.x,State.x,TotalPop_17,TotalPopMOE_17,TR_Italian_17,TR_ItalianMOE_17,Pop_SE_12,Italian_SE_12,Pop_SE_17,Italian_SE_17,italian_pop_crit_value,diff_tr_italian_ancestry_statistically_sig,pro_2012,pro_2017,prop_se_2012,prop_se_2017,prop_ital_crit,prop_ital_sig
36,5,22401,"Census Tract 224.01, Bronx County, New York",2690,306,117,82,Census Tract 224.01,Bronx County,New York,2625,325,10,15,186.01823708206686,49.848024316109424,197.56838905775075,9.118541033434651,2.111487545628932,stat sig,0.043494423791821564,0.0038095238095238095,0.01828514608112641,0.0034618767825489692,-2.13245319445314,stat sig
36,5,22403,"Census Tract 224.03, Bronx County, New York",3099,289,187,109,Census Tract 224.03,Bronx County,New York,3651,302,30,29,175.68389057750758,66.26139817629179,183.58662613981764,17.62917933130699,2.2897489001081097,stat sig,0.060342045821232655,0.008216926869350863,0.021106120271532212,0.004810879015216628,-2.4079083524804323,stat sig
36,5,22404,"Census Tract 224.04, Bronx County, New York",4368,449,272,222,Census Tract 224.04,Bronx County,New York,4186,363,84,46,272.9483282674772,134.95440729483283,220.66869300911853,27.96352583586626,1.3640873832365208,not stat sig,0.06227106227106227,0.020066889632107024,0.03065013786720677,0.006595961215483936,-1.34614674197028,not stat sig
36,5,22500,"Census Tract 225, Bronx County, New York",8327,890,126,145,Census Tract 225,Bronx County,New York,8570,781,23,30,541.0334346504559,88.14589665653496,474.7720364741641,18.237082066869302,1.1442826839943858,not stat sig,0.015131499939954366,0.0026837806301050174,0.010539798404015591,0.002122813935146931,-1.1577711515833895,not stat sig
36,5,22701,"Census Tract 227.01, Bronx County, New York",5602,588,17,20,Census Tract 227.01,Bronx County,New York,5702,617,24,33,357.4468085106383,12.1580547112462,375.0759878419453,20.06079027355623,0.29841221304074295,not stat sig,0.0030346304891110316,0.004209049456331112,0.002161651148122037,0.0035072911628463176,0.2850579588422374,not stat sig
36,5,22702,"Census Tract 227.02, Bronx County, New York",1545,283,0,12,Census Tract 227.02,Bronx County,New York,1534,171,0,11,172.03647416413375,7.2948328267477205,103.95136778115501,6.686930091185411,0,not stat sig,0,0,0.004721574645144156,0.004359146082910959,0,not stat sig
36,5,22703,"Census Tract 227.03, Bronx County, New York",1702,227,0,12,Census Tract 227.03,Bronx County,New York,1841,174,19,28,137.9939209726444,7.2948328267477205,105.77507598784194,17.02127659574468,1.0259956397576573,not stat sig,0,0.010320478001086366,0.004286035738394665,0.009226634648125327,1.014443285207136,not stat sig
36,5,22800,"Census Tract 228, Bronx County, New York",6345,698,375,332,Census Tract 228,Bronx County,New York,6023,536,102,89,424.3161094224924,201.82370820668692,325.83586626139817,54.10334346504559,1.306534481742726,not stat sig,0.0591016548463357,0.01693508218495766,0.031561799263605285,0.00893594746962758,-1.2854716525828884,not stat sig
36,5,22901,"Census Tract 229.01, Bronx County, New York",5028,572,46,48,Census Tract 229.01,Bronx County,New York,5922,600,0,16,347.72036474164133,29.179331306990882,364.741641337386,9.72644376899696,1.4955596909058828,not stat sig,0.009148766905330152,0,0.005768774973841814,0.0016424254929072882,-1.5252960883206228,not stat sig
36,5,22902,"Census Tract 229.02, Bronx County, New York",3274,370,0,12,Census Tract 229.02,Bronx County,New York,3537,457,0,11,224.92401215805472,7.2948328267477205,277.81155015197567,6.686930091185411,0,not stat sig,0,0,0.002228110209758009,0.0018905654767275685,0,not stat sig
36,5,23000,"Census Tract 230, Bronx County, New York",3189,331,305,202,Census Tract 230,Bronx County,New York,2974,367,143,108,201.2158054711246,122.79635258358662,223.10030395136778,65.65349544072949,1.1634123291824925,not stat sig,0.09564126685481342,0.04808338937457969,0.03803041221960417,0.02177914123642256,-1.0851733306484037,not stat sig
36,5,23100,"Census Tract 231, Bronx County, New York",1481,256,20,24,Census Tract 231,Bronx County,New York,1570,173,15,15,155.62310030395136,14.589665653495441,105.16717325227964,9.118541033434651,0.29061608543507705,not stat sig,0.01350438892640108,0.009554140127388535,0.009748486289487667,0.005772619718990861,-0.3486712620616183,not stat sig
36,5,23200,"Census Tract 232, Bronx County, New York",2644,397,385,178,Census Tract 232,Bronx County,New York,2804,250,298,93,241.33738601823708,108.20668693009118,151.9756838905775,56.53495440729483,0.7126148884898137,not stat sig,0.14561270801815432,0.10627674750356633,0.03870699694381297,0.019321930271404334,-0.9092574832111509,not stat sig
36,5,23301,"Census Tract 233.01, Bronx County, New York",4572,554,7,11,Census Tract 233.01,Bronx County,New York,3919,399,59,83,336.7781155015198,6.686930091185411,242.5531914893617,50.45592705167173,1.021669049261886,not stat sig,0.0015310586176727908,0.015054860933911712,0.0014582284633101593,0.012840932970688395,1.04645314608716,not stat sig
36,5,23302,"Census Tract 233.02, Bronx County, New York",3065,482,0,12,Census Tract 233.02,Bronx County,New York,3647,422,4,11,293.00911854103344,7.2948328267477205,256.53495440729483,6.686930091185411,0.40420618687673987,not stat sig,0,0.0010967918837400603,0.002380043336622421,0.0018319188297785775,0.3651809642326796,not stat sig
36,5,23501,"Census Tract 235.01, Bronx County, New York",3500,444,0,12,Census Tract 235.01,Bronx County,New York,3235,469,0,11,269.90881458966567,7.2948328267477205,285.1063829787234,6.686930091185411,0,not stat sig,0,0,0.002084237950499349,0.0020670572152041455,0,not stat sig
36,5,23502,"Census Tract 235.02, Bronx County, New York",4787,553,6,10,Census Tract 235.02,Bronx County,New York,4781,554,38,42,336.17021276595744,6.0790273556231,336.7781155015198,25.53191489361702,1.2192504557389932,not stat sig,0.0012533946104031752,0.00794812800669316,0.001266849212602688,0.005310858024456462,1.2261720871685464,not stat sig
36,5,23600,"Census Tract 236, Bronx County, New York",2102,347,89,69,Census Tract 236,Bronx County,New York,2110,272,139,99,210.94224924012158,41.94528875379939,165.34954407294833,60.182370820668694,0.6815934264326405,not stat sig,0.042340627973358705,0.06587677725118483,0.01949732298266013,0.028051375435927575,0.6889620182319502,not stat sig
36,5,23702,"Census Tract 237.02, Bronx County, New York",1196,269,28,30,Census Tract 237.02,Bronx County,New York,1203,153,26,29,163.5258358662614,18.237082066869302,93.00911854103343,17.62917933130699,0.07884905857338595,not stat sig,0.023411371237458192,0.021612635078969242,0.014908633810316228,0.014558769035861506,-0.0863197142714878,not stat sig
36,5,23703,"Census Tract 237.03, Bronx County, New York",4320,648,28,34,Census Tract 237.03,Bronx County,New York,5746,463,136,72,393.9209726443769,20.66869300911854,281.45896656534956,43.76899696048632,2.2312335358457327,stat sig,0.006481481481481481,0.023668639053254437,0.004747775383801055,0.007528551836283279,1.9310137584459879,stat sig
36,5,23704,"Census Tract 237.04, Bronx County, New York",3705,455,0,12,Census Tract 237.04,Bronx County,New York,4295,471,23,33,276.59574468085106,7.2948328267477205,286.322188449848,20.06079027355623,1.0774873993237883,not stat sig,0,0.005355064027939465,0.0019689157427119353,0.004657068532357727,1.059113438075518,not stat sig
36,5,23800,"Census Tract 238, Bronx County, New York",2379,336,242,89,Census Tract 238,Bronx County,New York,2551,267,128,68,204.25531914893617,54.10334346504559,162.31003039513678,41.33738601823708,1.674308263915157,stat sig,0.10172341319882304,0.05017640141121129,0.020998163957485633,0.015886782901376312,-1.9576673479402191,stat sig
36,5,23900,"Census Tract 239, Bronx County, New York",8414,699,58,87,Census Tract 239,Bronx County,New York,7547,665,0,16,424.9240121580547,52.88753799392097,404.25531914893617,9.72644376899696,1.0785784100293636,not stat sig,0.0068932731162348465,0,0.006276011736611895,0.0012887827970050297,-1.0759019397339402,not stat sig
36,5,24000,"Census Tract 240, Bronx County, New York",4237,500,222,148,Census Tract 240,Bronx County,New York,3986,542,75,60,303.951367781155,89.96960486322189,329.48328267477206,36.474164133738604,1.5141855144962342,not stat sig,0.052395562898277084,0.018815855494229806,0.020898953655485872,0.009017420443054851,-1.4752935284752755,not stat sig
