state,county,tract,NAME.x,TotalPop_12,TR_Italian_12,Census_Tract.x,County.x,State.x,pro_2012,pro_2017,prop_ital_sig
36,5,22401,"Census Tract 224.01, Bronx County, New York",2690,117,Census Tract 224.01,Bronx County,New York,0.043494424,0.003809524,stat sig
36,5,22403,"Census Tract 224.03, Bronx County, New York",3099,187,Census Tract 224.03,Bronx County,New York,0.060342046,0.008216927,stat sig
36,5,22404,"Census Tract 224.04, Bronx County, New York",4368,272,Census Tract 224.04,Bronx County,New York,0.062271062,0.02006689,not stat sig
36,5,22500,"Census Tract 225, Bronx County, New York",8327,126,Census Tract 225,Bronx County,New York,0.0151315,0.002683781,not stat sig
36,5,22701,"Census Tract 227.01, Bronx County, New York",5602,17,Census Tract 227.01,Bronx County,New York,0.00303463,0.004209049,not stat sig
36,5,22702,"Census Tract 227.02, Bronx County, New York",1545,0,Census Tract 227.02,Bronx County,New York,0,0,not stat sig
36,5,22703,"Census Tract 227.03, Bronx County, New York",1702,0,Census Tract 227.03,Bronx County,New York,0,0.010320478,not stat sig
36,5,22800,"Census Tract 228, Bronx County, New York",6345,375,Census Tract 228,Bronx County,New York,0.059101655,0.016935082,not stat sig
36,5,22901,"Census Tract 229.01, Bronx County, New York",5028,46,Census Tract 229.01,Bronx County,New York,0.009148767,0,not stat sig
36,5,22902,"Census Tract 229.02, Bronx County, New York",3274,0,Census Tract 229.02,Bronx County,New York,0,0,not stat sig
36,5,23000,"Census Tract 230, Bronx County, New York",3189,305,Census Tract 230,Bronx County,New York,0.095641267,0.048083389,not stat sig
36,5,23100,"Census Tract 231, Bronx County, New York",1481,20,Census Tract 231,Bronx County,New York,0.013504389,0.00955414,not stat sig
36,5,23200,"Census Tract 232, Bronx County, New York",2644,385,Census Tract 232,Bronx County,New York,0.145612708,0.106276748,not stat sig
36,5,23301,"Census Tract 233.01, Bronx County, New York",4572,7,Census Tract 233.01,Bronx County,New York,0.001531059,0.015054861,not stat sig
36,5,23302,"Census Tract 233.02, Bronx County, New York",3065,0,Census Tract 233.02,Bronx County,New York,0,0.001096792,not stat sig
36,5,23501,"Census Tract 235.01, Bronx County, New York",3500,0,Census Tract 235.01,Bronx County,New York,0,0,not stat sig
36,5,23502,"Census Tract 235.02, Bronx County, New York",4787,6,Census Tract 235.02,Bronx County,New York,0.001253395,0.007948128,not stat sig
36,5,23600,"Census Tract 236, Bronx County, New York",2102,89,Census Tract 236,Bronx County,New York,0.042340628,0.065876777,not stat sig
36,5,23702,"Census Tract 237.02, Bronx County, New York",1196,28,Census Tract 237.02,Bronx County,New York,0.023411371,0.021612635,not stat sig
36,5,23703,"Census Tract 237.03, Bronx County, New York",4320,28,Census Tract 237.03,Bronx County,New York,0.006481481,0.023668639,stat sig
36,5,23704,"Census Tract 237.04, Bronx County, New York",3705,0,Census Tract 237.04,Bronx County,New York,0,0.005355064,not stat sig
36,5,23800,"Census Tract 238, Bronx County, New York",2379,242,Census Tract 238,Bronx County,New York,0.101723413,0.050176401,stat sig
36,5,23900,"Census Tract 239, Bronx County, New York",8414,58,Census Tract 239,Bronx County,New York,0.006893273,0,not stat sig
36,5,24000,"Census Tract 240, Bronx County, New York",4237,222,Census Tract 240,Bronx County,New York,0.052395563,0.018815855,not stat sig
36,5,24100,"Census Tract 241, Bronx County, New York",6416,39,Census Tract 241,Bronx County,New York,0.006078554,0.009250549,not stat sig
36,5,24300,"Census Tract 243, Bronx County, New York",5749,46,Census Tract 243,Bronx County,New York,0.008001392,0.005325009,not stat sig
36,5,24400,"Census Tract 244, Bronx County, New York",2694,812,Census Tract 244,Bronx County,New York,0.301410542,0.147627417,stat sig
36,5,24501,"Census Tract 245.01, Bronx County, New York",4933,0,Census Tract 245.01,Bronx County,New York,0,0.0076772,not stat sig
36,5,24502,"Census Tract 245.02, Bronx County, New York",4220,49,Census Tract 245.02,Bronx County,New York,0.011611374,0,not stat sig
36,5,24600,"Census Tract 246, Bronx County, New York",1931,341,Census Tract 246,Bronx County,New York,0.176592439,0.186046512,not stat sig
36,5,24700,"Census Tract 247, Bronx County, New York",2036,8,Census Tract 247,Bronx County,New York,0.003929273,0.002123142,not stat sig
36,5,24800,"Census Tract 248, Bronx County, New York",3766,968,Census Tract 248,Bronx County,New York,0.257036644,0.212141428,not stat sig
36,5,24900,"Census Tract 249, Bronx County, New York",0,0,Census Tract 249,Bronx County,New York,0,0,not stat sig
36,5,25000,"Census Tract 250, Bronx County, New York",2368,876,Census Tract 250,Bronx County,New York,0.369932432,0.247054492,stat sig
36,5,25100,"Census Tract 251, Bronx County, New York",7109,54,Census Tract 251,Bronx County,New York,0.007596005,1.49E-04,not stat sig
36,5,25200,"Census Tract 252, Bronx County, New York",2635,747,Census Tract 252,Bronx County,New York,0.283491461,0.263669065,not stat sig
36,5,25300,"Census Tract 253, Bronx County, New York",5572,0,Census Tract 253,Bronx County,New York,0,0.004937092,not stat sig
36,5,25400,"Census Tract 254, Bronx County, New York",1723,758,Census Tract 254,Bronx County,New York,0.439930354,0.36516129,not stat sig
36,5,25500,"Census Tract 255, Bronx County, New York",6161,0,Census Tract 255,Bronx County,New York,0,0.00705197,not stat sig
36,5,25600,"Census Tract 256, Bronx County, New York",1931,439,Census Tract 256,Bronx County,New York,0.227343345,0.154296875,not stat sig
36,5,25700,"Census Tract 257, Bronx County, New York",2024,0,Census Tract 257,Bronx County,New York,0,0.009788769,not stat sig
36,5,26100,"Census Tract 261, Bronx County, New York",2573,96,Census Tract 261,Bronx County,New York,0.037310532,0.006094464,stat sig
36,5,26300,"Census Tract 263, Bronx County, New York",6342,47,Census Tract 263,Bronx County,New York,0.007410911,0.001501752,not stat sig
36,5,26400,"Census Tract 264, Bronx County, New York",5235,1327,Census Tract 264,Bronx County,New York,0.253486151,0.127740533,stat sig
36,5,26500,"Census Tract 265, Bronx County, New York",6693,84,Census Tract 265,Bronx County,New York,0.012550426,0.003529827,not stat sig
36,5,26601,"Census Tract 266.01, Bronx County, New York",3128,1100,Census Tract 266.01,Bronx County,New York,0.351662404,0.237488895,not stat sig
36,5,26602,"Census Tract 266.02, Bronx County, New York",5068,1514,Census Tract 266.02,Bronx County,New York,0.298737174,0.18620931,stat sig
36,5,26701,"Census Tract 267.01, Bronx County, New York",3503,55,Census Tract 267.01,Bronx County,New York,0.015700828,0.023165082,not stat sig
36,5,26702,"Census Tract 267.02, Bronx County, New York",6386,57,Census Tract 267.02,Bronx County,New York,0.008925775,0.008151792,not stat sig
36,5,26900,"Census Tract 269, Bronx County, New York",3258,20,Census Tract 269,Bronx County,New York,0.006138735,0.006575487,not stat sig
36,5,27300,"Census Tract 273, Bronx County, New York",8491,190,Census Tract 273,Bronx County,New York,0.022376634,0,stat sig
36,5,27401,"Census Tract 274.01, Bronx County, New York",4588,2366,Census Tract 274.01,Bronx County,New York,0.515693112,0.463817779,not stat sig
36,5,27402,"Census Tract 274.02, Bronx County, New York",3765,1922,Census Tract 274.02,Bronx County,New York,0.510491368,0.450867052,not stat sig
36,5,27600,"Census Tract 276, Bronx County, New York",65,0,Census Tract 276,Bronx County,New York,0,0,not stat sig
36,5,27700,"Census Tract 277, Bronx County, New York",4977,32,Census Tract 277,Bronx County,New York,0.006429576,0.006168488,not stat sig
36,5,27900,"Census Tract 279, Bronx County, New York",6865,180,Census Tract 279,Bronx County,New York,0.026219956,0.030612245,not stat sig
36,5,28100,"Census Tract 281, Bronx County, New York",3898,130,Census Tract 281,Bronx County,New York,0.033350436,0.038247566,not stat sig
